BRANCH                                                     SHA                                        AHEAD  BEHIND  INTIP LASTCOMMIT
e/personalization-guardrail                                87590f0ac19a610605e8fc9e11f01b35e2472d49     632      63     no 2026-08-01
e/settings-clarity-r2                                      9d3cf0a750e891621f52e849fab90c712fb016ae     631      63     no 2026-08-01
e/personalization-guardrail-r2                             dbc6bcdcdb174af7f9daa2ad9ecef42ab89cbc63     630      63     no 2026-08-01
e/plan-honest-axes                                         6f0d33fe86b3a3aef58c63be4cd56a52bf523a63     624      63     no 2026-07-31
e/plan-why                                                 c304227e986814bcd95756a9a8c632fb2b34536e     623      63     no 2026-07-31
e/plan-preview                                             e5546377f0f4c290adea66a376648431752c48f1     622      63     no 2026-07-31
e/settings-clarity                                         c5d977fe8df4e6ba96aacbf13bff02ba601d3864     621      63     no 2026-07-31
e/plan-rationale                                           3998506e0f39c89c29190dba2cf313993a5271f1     621      63     no 2026-07-31
merge/release-rc-into-trunk                                bdc0cef8a652aa29ec41a9828e65f017c2a25c96     541      63     no 2026-07-28
claude/q18-health-discoverability                          a18d3984b93811ebfe0b59b350d2c990de7a5d84     541      63     no 2026-07-26
claude/q16-today-greeting-contrast                         2a07bc2dcd5bb3cebfdf47c934cbb9a1d1cc1de2     541      63     no 2026-07-26
claude/p14-body3d-engine-audit                             cef75757531b2ee32f9d57ec9f55efcdf1539f77     534      63     no 2026-07-26
claude/p14-e2e-release-gate                                45b583cb97d554afd35f47cb6a0f8e3be6f88a3d     527      63     no 2026-07-26
design/v21-promotion                                       cc96d842212d0143051c1c2974b3bdc529487265     509      63     no 2026-07-21
fix/founder-qa-round1                                      a6415dfa3832c17b791f952a30a0ec5a2ba3ee2d     484      63     no 2026-07-18
fix/design-fidelity-v21                                    a6415dfa3832c17b791f952a30a0ec5a2ba3ee2d     484      63     no 2026-07-18
audit/design-fidelity                                      9ca3df83e1911d73d2c44424e04ae05dfa8a2e42     483      63     no 2026-07-18
feat/v11-experience                                        7157c0fd9aa66d992b46cc105383107bbc397d74     428      63     no 2026-07-17
content/food-r2-gcc-eatingout                              5c630b9e90abe71137668811f6b1afda31ff5bfe     413      63     no 2026-07-16
hotfix/p12-field-fixes-r2                                  4e17c67b49e4c94ffd6bfd982374023730c18d09     244      63     no 2026-07-04
