BRANCH|SHA|CONTAINED_IN_REC|PATCH_UNIQUE|CLASS
archive/qae-training-wave2-269b2bb|269b2bb481fe73310f4f40c3f0fde3431db6377c|no|30|UNIQUE_PENDING
audit/design-fidelity|9ca3df83e1911d73d2c44424e04ae05dfa8a2e42|no|339|UNIQUE_PENDING
audit/web-sovereign-final|42e44b2bc1c83434fe360d7aaae223d15b8ee2cf|YES|0|ABSORBED
backup/claude-p25-3d-20260725|cb43ef48a406b97c9a7f59006c95b0aeb5b7b647|no|60|UNIQUE_PENDING
ci/artifact-quota-nonblocking|9e679c37b200f082501cb6eabcf286f7cae5c9cf|no|0|ABSORBED_BY_PATCH
claude/access-entitlements|df85c77006b5e132cd78649af39cd550331976c7|no|0|ABSORBED_BY_PATCH
claude/codex-web-sovereign-trace-j9kzwz|6fce5026be981924e6ffcd737e8bd299d150f6ba|no|1|UNIQUE_PENDING
claude/control-files-tier1-verify-yyxg50|64fca13b0ce89eedb0a57046c4d94bb2360612a5|no|2|UNIQUE_PENDING
claude/founder-ux-access-gate-0rn49k|af5274b2f8558079b43ad1d2dc2676b03db23d2b|YES|0|ABSORBED
claude/off-integration-saudi-seed-fgzgc0|0a410505fbb7f61dc51d0af60165839be98b6477|no|89|UNIQUE_PENDING
claude/p12-install-guide|0660e26235c12f43a50f37475cf94a7b8c10c9fa|no|114|UNIQUE_PENDING
claude/p14-body3d-engine-audit|cef75757531b2ee32f9d57ec9f55efcdf1539f77|no|373|UNIQUE_PENDING
claude/p14-e2e-release-gate|45b583cb97d554afd35f47cb6a0f8e3be6f88a3d|no|366|UNIQUE_PENDING
claude/p31-muscle-lib-8w7upl|3ee93318a10fe161be7ba2fd1fd2bdef99c6338c|no|69|UNIQUE_PENDING
claude/q16-today-greeting-contrast|2a07bc2dcd5bb3cebfdf47c934cbb9a1d1cc1de2|no|380|UNIQUE_PENDING
claude/q18-health-discoverability|a18d3984b93811ebfe0b59b350d2c990de7a5d84|no|380|UNIQUE_PENDING
claude/qae-architecture-design-fhg2mh|3da81624aac531ee9cf480fbbbcff045067f93af|no|16|UNIQUE_PENDING
claude/qimmah-today-home-redesign-2q1wdk|34b02703217fe58842d2ee0643ce70bd62156531|YES|0|ABSORBED
claude/salla-activation|7590ce73ad46f4e0730ce8826a7fbb0d0b318cf4|no|5|UNIQUE_PENDING
claude/salla-reconciled|f7270f6589ad546dca7de73315a9255ccdff9909|YES|0|ABSORBED
claude/web-rc-cto009|da11034dca8ab9b15ec61bde5bc9af7a76367f45|no|1|UNIQUE_PENDING
claude/web-sovereign-final-recovery-o8alub|d83add22e904819c7d7fdc27890c757cd5dbaa5c|YES|0|ABSORBED
codex/qimmah-canonical-launch-candidate-001|740023b913103546f1ece4741ae987a4dcfc9536|YES|0|ABSORBED
codex/qimmah-executive-dashboard-001|109145178bc2a081f109ab32a30d5fe82af9eb85|YES|0|ABSORBED
codex/qimmah-exercise-production-001|dfde74592bbecc07d2fc8f34f88a8f046e85bf55|YES|0|ABSORBED
codex/qimmah-final-release-convergence-001|df10b88f5b91f4d1674fc75f922f2ac9c29f8def|no|3|UNIQUE_PENDING
codex/qimmah-food-production-001|e12bad0a140ff833a8a1ac4ffa3b1854cb67e4b5|YES|0|ABSORBED
codex/qimmah-founder-qa-candidate-001|bcec642163c275427b29976e9269701271485799|YES|0|ABSORBED
codex/qimmah-postweb-convergence-001|11a1464a203f32e2f5c12185e8f78514e20fb87a|YES|0|ABSORBED
codex/qimmah-release-convergence-001|54ad599a205214050336d1c5747794f74617c1fb|YES|0|ABSORBED
codex/qimmah-sovereign-closure-001|139a7b00d154e1950e5970ed86d2fe6165dba5c6|YES|0|ABSORBED
codex/qimmah-sovereign-overnight-rc-001|6e7b5841527f97661c017832bd1d9b9ba212a669|YES|0|ABSORBED
codex/qimmah-web-integration|672302d44f1f017520c73616e0a2aba4dc86e9df|YES|0|ABSORBED
codex/qimmah-web-sovereign-001|d83add22e904819c7d7fdc27890c757cd5dbaa5c|YES|0|ABSORBED
content/food-r2-gcc-eatingout|5c630b9e90abe71137668811f6b1afda31ff5bfe|no|291|UNIQUE_PENDING
design/v21-promotion|cc96d842212d0143051c1c2974b3bdc529487265|no|351|UNIQUE_PENDING
design/v21-slice0-1|4827873de968a1d3e969d6e5b9b1f20e6d9bcf39|no|114|UNIQUE_PENDING
design/v21-slice2|c3cbfbdfa6a9a5b8dffdec1a47bb0ac82b5ea792|no|115|UNIQUE_PENDING
e/personalization-guardrail|87590f0ac19a610605e8fc9e11f01b35e2472d49|no|429|UNIQUE_PENDING
e/personalization-guardrail-r2|dbc6bcdcdb174af7f9daa2ad9ecef42ab89cbc63|no|428|UNIQUE_PENDING
e/plan-honest-axes|6f0d33fe86b3a3aef58c63be4cd56a52bf523a63|no|427|UNIQUE_PENDING
e/plan-preview|e5546377f0f4c290adea66a376648431752c48f1|no|425|UNIQUE_PENDING
e/plan-rationale|3998506e0f39c89c29190dba2cf313993a5271f1|no|424|UNIQUE_PENDING
e/plan-why|c304227e986814bcd95756a9a8c632fb2b34536e|no|426|UNIQUE_PENDING
e/settings-clarity|c5d977fe8df4e6ba96aacbf13bff02ba601d3864|no|424|UNIQUE_PENDING
e/settings-clarity-r2|9d3cf0a750e891621f52e849fab90c712fb016ae|no|429|UNIQUE_PENDING
feat/v11-experience|7157c0fd9aa66d992b46cc105383107bbc397d74|no|303|UNIQUE_PENDING
feature/mobile-app-shell-design|725bf0a5845636f43419ab2ff4705db59c0276a8|no|9|UNIQUE_PENDING
feature/mobile-plan-builder|156a6bae749c9e3f3f402f6bcd1ea9754b575571|no|7|UNIQUE_PENDING
